text,based_on,applied,received,acknowledgement,second,third,cermony,marriage,residency,stamp,irish_descent,origins
Application Based On Civil partnership with Irish Citizen (3 yrs) Applied On 04/12/2017 Application received On 05/12/2017  Second Letter 21/12/2017 Awaiting On Approval Pending Date of Ceremony Pending  i have quastion if no post in this week who some people recieve approval letter,Civil partnership with Irish Citizen (3 yrs),2017-12-04,2017-12-05,,2017-12-21,,,True,False,,False,N/A
"This is my wife's timeline, she got second stage letter today. I applied earlier (March 2018) and I'm not yet at second stage. Our applications were similar, but not exactly the same.  Application Based On 5 years residence (non-EU, stamp 1 & 4) Applied 1/8/2018 Letters/reply regarding signatures not matching 9/8/2018 Moved to second stage 1/3/2019 Approval TBC","5 years residence (non-EU, stamp 1 & 4)",2018-01-01,,,,,,False,True,stamp 1 & 4,False,Non-EU
Application Based On 5+ years of residency (I'm an EU citizen already) Applied On 8th Jan 2018 Application received On 9th Jan 2018 (as per AnPost tracking record) Acknowledgement Received on 16th Jan 2018 (confirming that my application has proceeded to the second stage + my passport + receipt of fee payment) Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending,5+ years of residency (I'm an EU citizen already),2018-01-08,2018-01-09,2018-01-16,,,,False,True,,False,EU
Application Based On 5+ years of residency (I'm an EU citizen already) Applied On 8th Jan 2018 Application received On 9th Jan 2018 (as per AnPost tracking record) Acknowledgement Received on 16th Jan 2018 (confirming that my application has proceeded to the second stage + my passport + receipt of fee payment) Second Letter Received on 12th Sept (alongside request for 950€ + 2 passport pictures) Awaiting On Approval Received on 12th Sept (alongside request for 950€ + 2 passport pictures) Date of Ceremony Pending,5+ years of residency (I'm an EU citizen already),2018-01-08,2018-01-09,2018-01-16,,,,False,True,,False,EU
Applied as non EU 5 years residency   Applied on 9 th January 2018  Received acknowledgement with letter saying you are second stage after initial processing  24 th jan 2018,,2018-01-09,2018-01-24,2018-01-24,,,,False,False,,False,N/A
Application Based On 5+ years of residence (Non-EU) Applied On 10/01/2018 Application received On 11/01/2018 Acknowledgement 30/01/2018 Second Letter 30/01/2018 Awaiting On Approval 16/04/2018 Date of Ceremony Invitation received on 03/05/2018 for May 21 ceremony,5+ years of residence (Non-EU),2018-01-10,2018-01-11,2018-01-30,2018-01-30,2018-04-16,,False,True,,False,Non-EU
Application Based On 5 years (stamp 1 & stamp 4) Applied On 15/01/2018 Application received On 16/01/2018 Acknowledgement  17/01/2018 Second Letter 17/01/2018 Awaiting On Approval 26/09/2018 Date of Ceremony 26/11/2018 (invitation received 26/10/2018),5 years (stamp 1 & stamp 4),2018-01-15,2018-01-16,2018-01-17,2018-01-17,2018-09-26,2018-11-26,False,True,stamp 1 & stamp 4,False,N/A
"Application Based On 3yrs marriage to Irish citizen Northern Ireland  Applied On 17th Jan 2018 Application received On 18th Jan 2018 Acknowledgement  I got a letter on 22nd January 2018 asking for bank statements cover Jan to June (2015 to 2017)PSNI criminal record check, letter from Doctors stating when I registered and appointments. All Doc posted on the 6th feb 2018 and it was received on 7th feb 2018 signed for. Still waiting on further correspondence. Second Letter N/A Awaiting On ApprovalN/A Date of CeremonyN/A",3yrs marriage to Irish citizen Northern Ireland,2018-01-17,2018-01-18,2018-01-22,,,,True,False,,False,N/A
Hi everyone. New member.  Application Based On Conferral Applied On 23rd January 2018 Application received On 23rd January 2018 Acknowledgement  N/A Second Letter N/A Awaiting On Approval N/A Date of Ceremony N/A,Conferral,2018-01-23,2018-01-23,,,,,False,False,,False,N/A
Application Based On Marriage to Irish citizen (10+ years residence) Applied On 30 January 2018 No acknowledgement or passport until April 2018 when I emailed them. April 2018 Passport returned  Multiple emails from June 2018 to Feb 2019 all met with form response that it is being processed. Second Letter May 2019  Approval 18 November 2019 Date of Ceremony Pending,Marriage to Irish citizen (10+ years residence),2018-01-30,,2018-04-01,2019-05-01,2019-11-18,,True,True,,False,N/A
Here's my wife's timeline to date although we haven't had any updates in almost a year now  Application Based On 6+ year residency (Non-EU) Applied On 31 January 2018 Application received On 5 February 2018 Acknowledgement  7 February 2018 along with request for additional information (very quick!) Additional information sent on 8 February 2018 (received on 9 February 2018) Second Letter July 2018 Approval ??? Date of Ceremony ???,6+ year residency (Non-EU),2018-01-31,2018-02-05,2018-02-07,2018-07-01,,,False,True,,False,Non-EU
