countriesAndTerritories,cases,deaths,dateRep
Bangladesh,2,0,01/04/2020
Burkina_Faso,24,0,01/04/2020
Colombia,108,2,01/04/2020
Congo,3,2,01/04/2020
France,7578,499,01/04/2020
Iran,3111,141,01/04/2020
Iraq,64,4,01/04/2020
Italy,4053,839,01/04/2020
Jordan,6,0,01/04/2020
Kenya,9,0,01/04/2020
Lebanon,17,1,01/04/2020
Libya,2,0,01/04/2020
Pakistan,414,8,01/04/2020
Palestine,2,0,01/04/2020
Philippines,0,0,01/04/2020
South_Sudan,1,0,31/03/2020
Syria,0,0,01/04/2020
Uganda,11,0,01/04/2020
Ukraine,69,2,01/04/2020
United_States_of_America,24998,909,01/04/2020
Venezuela,0,0,01/04/2020
